,title,label,label_score
7431,"Warga Cerita Sering Diganggu Pria Misterius, Diam-diam Masuk Rumah Gerayangi Wanita",clickbait,1
3362,"Status Pegawai KPK Jadi ASN, Ini Kata Menpan-RB",clickbait,1
7861,Billboard Prediksi BTS Bakal Masuk 6 Nominasi 'Grammy Awards 2020' Ini,clickbait,1
992,"Hijabers, Sudah Tepatkah Cara Merawat Rambutmu? Cari Tahu Lewat Kuis Ini Yuk",clickbait,1
8349,"Aksi HyunA Pamer Celana Dalam Jadi Kontroversi, Netizen Ngotot Sebut Bukan Penyanyi",clickbait,1
2636,Stafsus Presiden Paparkan Bukti Jokowi Serius Bangun Papua,clickbait,1
7636,Barbie Kumalasari Malah Kena Sindir Usai Pamer Momen Bareng Fans di Acara Meet and Greet,clickbait,1
6034,"Aksi Nenek Gendong Jenazah Cucu, Ini Kata Anies Baswedan",clickbait,1
8449,"Akdong Musician Ditanya Soal Reputasi YG, Isyaratkan Tak Bakal Keluar?",clickbait,1
7109,"Saat Melaju di Pondok Indah, Mobil Anton Ringsek Tertimpa Pohon Palem, Begini Nasibnya",clickbait,1
7199,"3 Pemain Timnas Indonesia Urung Gabung Persib, Ini Alasan Robert Alberts",clickbait,1
7797," 8 Tahun Menikah, Kemesraan Irwansyah-Zaskia Sungkar Ambil Foto Ala Prewedding Bikin Baper",clickbait,1
2462,Sandiaga Uno Akan Kembali Gabung dengan Gerindra?,clickbait,1
7195,"Dian Sastro Pernah Dicuekin Suami 2 Hari Karena Rambut, Lawan Main Nicholas Saputra Ungkap Sebabnya",clickbait,1
3383, Ini Tanggapan KPK Setelah Revisi UU KPK Disahkan DPR   ,clickbait,1
7225,Tes Kepribadian: Gadis Mana yang Paling Menarik Saat Mereka Berbalik? Pilihanmu Ungkap Kepribadianmu,clickbait,1
3371,"Irish Bella Alami Perdarahan saat Hamil, Kenali Penyebabnya Yuk Moms",clickbait,1
7302,"Mau Selfie Bareng Monyet di Monkey Forest Ubud, Ini Triknya",clickbait,1
5803,"Viral Video Polantas Bergelantungan di Atap Mobil, Begini Kronologinya",clickbait,1
917,4 Zodiak Ini Rutin Introspeksi Diri dan Bercermin dalam Menjalani Kehidupan,clickbait,1
4266,Bagaimana Mengantisipasi Kebakaran di Lokasi Padat Penduduk?,clickbait,1
1405,"12 Potret Cantik Ming Xi, Model Victoria's Secret yang Dilamar Anak Miliuner China",clickbait,1
8411,KBS Dilaporkan Larang Fans Ambil Gambar Idol K-Pop Saat Hendak Tampil di 'Music Bank',clickbait,1
1614,"Youtuber Tana Mongeau Bawa Ular ke VMAs 2019, Tiru Gaya Britney Spears 18 Tahun Lalu?",clickbait,1
8339,"Raffi Ahmad Lupa Sebut Nama Istri, Begini Reaksi Manja Nagita Slavina",clickbait,1
3745,"Yuk, Liburan Seru ke Tiga Wisata Halal Ini   ",clickbait,1
2920,"Kesal dengan Kondisi Klub, Presiden Napoli Tantang Ingin Beli AC Milan",clickbait,1
1595,"Fakta Mengejutkan Terkuak, Jennifer Dunn Bohong Soal Rumah Barunya?",clickbait,1
1933,"5 Hal Menarik Balkonjazz Festival 2019, Pasar Balkon hingga Ditutup Yura Yunita",clickbait,1
7236,"Respon Adik Kandung, BJ Habibie Sering Diterpa Hoax Kabar Duka",clickbait,1
4568,Ini Alasan Direktur Lazio Tolak Tawaran Milan,clickbait,1
2593,Komunitas Mobil Komentari Perluasan Ganjil Genap,clickbait,1
4068,"Televisi 4K Gratis dari Orang Terkaya Se-Asia, Siapa Mau?",clickbait,1
3945,"Kapoldasu Ultimatum Warga Tanjung Mulia, ""Yang Nggak Punya Dokumen, Angkat Kaki Segera!""",clickbait,1
2546,Susunan Pemain Timnas Indonesia vs Thailand: Beto Kembali Jadi Andalan,clickbait,1
7584,5 Fakta KPK Tetapkan Menpora Imam Nahrawi Jadi Tersangka Kasus Suap Dana Hibah,clickbait,1
721,"Soal RUU KUHP, Yuk Baca Lagi Putusan MK Soal Zina dan LGBT",clickbait,1
7619,"Grup Baru JYP, Boy Story Dikritik Habis-Habisan Usai 'Numpang' Tampil di K-CON Thailand",clickbait,1
3955,Gubernur Kalteng : Tembak di Tempat Pengedar Narkoba!,clickbait,1
3703,"   Anies Izinkan PKL di Trotoar, Menteri PUPR: Ada Syaratnya",clickbait,1
7372,Gelar Chinese Taipei Open 2019 Hapus Kebingungan Ganda Putri Thailand Ini,clickbait,1
3338,"Kisah Raja Minyak Amerika Serikat, Petik 8 Kunci Suksesnya   ",clickbait,1
8347,Inilah 10 Lagu K-Pop Terlama Yang Tempati Posisi Top 100 Tahun 2018 di Gaon,clickbait,1
7693,"Celine Evangelista Ternyata Sudah Melahirkan Semalam, Wajah Bayi Masih Dirahasiakan",clickbait,1
7298,"Penyebar Kabar Hoaks BJ Habibie Meninggal Minta Maaf, Ngaku Sangat Mengidolakan Suami Ainun",clickbait,1
3595,"Bareng, Jonatan dan Lee Yong Dae Bikin Netizen Kelepek-Kelepek",clickbait,1
8258,Hesti Purwadinata Sebut Pekerjaan Artis Seperti Kuli Hingga Risiko 'PHK Sepihak' Tuai Reaksi Sinis,clickbait,1
2637,"BJ Habibie Meninggal Dunia, Annisa Yudhoyono: Beliau Siap Dipanggil...",clickbait,1
8424,Bebby Fey Ngamuk Saat Dinar Candy Sebut Dirinya Ada Video Dengan Lelaki Lain,clickbait,1
7956,Ini Kata Mark dan Lucas Bisa Debut dan Satu Grup Bareng Senior-Senior di SuperM,clickbait,1
3760,"Neraca Perdagangan Agustus Surplus Tipis, Ini Jawaban Sri Mulyani",clickbait,1
6199,"Ekspor Obat Indonesia Menarik Penjahat Siber, Berikut Faktanya",clickbait,1
4641,"Didakwa Terima Suap Bersama Menag, Ini Reaksi Romi",clickbait,1
6703,Cara Dapatkan Stiker Khusus Difabel untuk Ganjil Genap,clickbait,1
7240,"Sudah Dianggap Anak Sendiri, Betrand Peto Tunjukkan Sikap Manjanya pada Sarwendah",clickbait,1
7894,Lee Hi Terharu Usai Dapat Kejutan dari Fans Indonesia Saat Tampil di Super K-Pop Festival 2019,clickbait,1
8074," Biaya Nikah Diduga Capai Rp2 Miliar, Jessica Iskandar Bocorkan Konsep Pesta Ceria Goyang Flashmob",clickbait,1
3640,"Terminal 2 Bernama Bandara Soetta Traveloka, AP II Kecolongan?   ",clickbait,1
2533,"Dikabarkan Ingin ke MU, Winger Juventus Marah Besar",clickbait,1
8135,Busana Transparan Ala Putri Duyung Dahyun Twice di 'M! Countdown' Tuai Cibiran,clickbait,1
8015,Mendikbud Sebut 50 Orang Nyamar Jadi Pelajar SMA Saat Ikuti Aksi Demo Di DPR,clickbait,1
5973,Ini Tiga Sikap Jokowi Soal Revisi UU KPK,clickbait,1
7467,"Lebih dari 300 Ribu Orang Tandatangani Petisi Minta Jokowi Tolak RKUHP, Ada 11 Poin yang Disoroti",clickbait,1
7900,Suami Maia Estianty Pakai Serban Saat Umrah Dipuji Seperti Raja Minyak Arab,clickbait,1
6358,"Air Kelapa Kaya Nutrisi untuk Ibu Hamil, Rasakan 9 Manfaatnya",clickbait,1
968,3 Menu Sarapan Ini Ternyata Buruk Bagi Kesehatan,clickbait,1
1373,"Lama Tak Terlihat di Televisi, Begini Kabar Terbaru Romy Rafael",clickbait,1
2666,4 Fakta soal Sakitnya BJ Habibie,clickbait,1
7893,"Penggemar Heboh, Donghae Bocorkan Super Junior Bakal Gelar Super Show 8 di Jakarta",clickbait,1
7559,5 Restoran Instagramable di Bali dengan View Menghadap Langsung ke Pantai,clickbait,1
8121,Jin BTS Jadi Bahan Gosip Gara-Gara Chat dengan Bosnya Mendadak Viral Lagi,clickbait,1
7400,"5 Fakta Naja Dewi, Putri Armand Maulana dan Dewi Gita yang Hebohkan Panggung The Voice Indonesia",clickbait,1
5404,Seperti Ini Cara Menghindarkan Anak Dari Kecanduan Gawai,clickbait,1
3328,4 Fakta di Balik Perhelatan Balkonjazz Festival 2019,clickbait,1
8111,"Sere Kalina Kembali Bikin Iri Foto Bareng NCT 127, Posisi Kaki Jaehyun Paling Bikin Salfok",clickbait,1
2337,Simak Tips Investasi Sejak Dini ala Petenis Andy Roddick,clickbait,1
990,"Mengalami KDRT, Begini Fakta Tiga Setia Gara",clickbait,1
7018,Kulit Wajah Kering dan Kusam? Atasi dengan 5 Perawatan Mudah Ini,clickbait,1
7519,"Hubungan Indah Teuku Rassya & Aurel Hermansyah akan Terulang Kata Denny Darko, Jadian? Denny: Cocok",clickbait,1
3950,"Lebaran ke-2, Langkat Macet Parah! Hingga 21Km",clickbait,1
2698,Nilai Pemain Timnas Indonesia Saat Dipecundangi Thailand,clickbait,1
3180,"Kilang Minyak Saudi Aramco Diserang Drone, Apa Dampaknya ke Harga BBM?",clickbait,1
6090,"Tsunami Sulit Diprediksi, Ini Kata Ahli yang Harus Kita Lakukan",clickbait,1
3427,"Ini Cara Listrik Masuk ke Rumah Kamu, Ternyata Perjalanannya Panjang Loh!",clickbait,1
7510,"Fakta Menarik Abah Lala Pencipta Jargon 'Cendol Dawet', Ini Hubungannya dengan Cita Citata",clickbait,1
7645,"Usai Dilantik, Anggota DPR Termuda Hillary Lasut Langsung 'Serang' RKUHP",clickbait,1
7590,10 Wisata Negeri di Atas Awan yang Cocok Dikunjungi saat Liburan Akhir Pekan,clickbait,1
7123,"Kebiasaan Orang Enggak Pernah Stres, Menghindari Drama Satu di Antaranya",clickbait,1
8437,Mayangsari Ungkap Alasan Bijaksana Ogah Ladeni Nyinyiran Haters di Media Sosial,clickbait,1
8463,Koleksi Visual SM Dulu Hingga Sekarang Picu Perdebatan Siapa Tercantik Sepanjang Masa,clickbait,1
7352,"Terungkap Cara Kelvin Membakar Mobil Berisi Mayat Pupung dan Dana, Aulia Siapkan 8 Botol Bensin",clickbait,1
8476,Reaksi Imut Ong Sung Woo Usai Ngaku Gagal Diet Sukses Bikin Fans Gemas,clickbait,1
2697,Hazard Berpeluang Lakoni Debut Bersama Real Madrid Lawan Levante?,clickbait,1
3924,"Sempat Semangati Bu Ani Yudhoyono, Kini Pak Sutopo pun Berpulang...",clickbait,1
7221,"6 Zodiak Ini Diprediksi Makin Kaya & Makmur di Tahun 2019: Aries, Gemini, Hingga Pisces",clickbait,1
8119,Ayu Ting Ting Sempat Dikira Sebagai Syahrini Gara-Gara Unggah Foto Ini,clickbait,1
1064,Inilah Serial Pendek Netflix Yang Wajib Kalian Tonton,clickbait,1
3253,"Daftar Negara Terbaik bagi Para Investor, Apakah Ada Indonesia?",clickbait,1
3873,"Ini Kriteria Penerima Kartu Prakerja, Apakah Anda Termasuk Salah Satunya?",clickbait,1
3306,"Menyelami Isi Kepala Aulia Kesuma, Bagaimana Niat Membunuh Muncul Sedikit demi Sedikit?",clickbait,1
7254,"Kejam Sekali, Hoax tentang Meninggalnya BJ Habibie Sudah 6 Kali Terjadi Sejak 2012",clickbait,1
4533,"Yuk, Cari Tahu Manfaat Kopi Bagi Kesehatan",clickbait,1
7506,"Ada Diskon Hingga Rp 20 Juta untuk Mitsubishi Pajero Sport, Siapa Berminat?",clickbait,1
4489,Himpuh: Hapus Visa Progesif Cara Saudi Komersilkan Ka'bah?,clickbait,1
953,"Baru Tayang, Ini Sinopsis Warkop DKI Reborn",clickbait,1
2756,"SUV Mewah Rolls-Royce Cullinan Kena Recall, Apa yang Bermasalah?",clickbait,1
8392,Kang Ho Dong Protes Produser 'Ask Anything Fortune Teller' Gara-Gara Gunakan Fotonya Tanpa Izin,clickbait,1
5208,"Tumbuh 10 Cm, 'Tanduk Setan' di Kepala Pria India Dioperasi",clickbait,1
1671,"Ketua HIPMI Lempar Isyarat ""Punya Waktu Longgar"", Ini  Respon Presiden Jokowi",clickbait,1
1228,"Sempat Mengaku Mualaf, Ternyata Kriss Hatta Tak Pernah Memeluk Islam",clickbait,1
7723,"Shireen Sungkar Niat Unfollow Instagram Teuku Wisnu Gara-Gara Foto Endorse Produk, Kok Bisa?",clickbait,1
3316,"Cukai Naik 23%, Gappri: Apakah Industri Tembakau Akan Dimatikan?",clickbait,1
2857,Cerita Ruben Onsu Antar Jemput Anak Sekolah,clickbait,1
8043,"Fairuz Bodo Amat, Reaksi Ngakak 'Bongkar' Barbie Kumalasari Bohong Sebar Isu Ceraikan Galih?",clickbait,1
1998,Ini Jadwal Update Android 10 untuk Ponsel Realme,clickbait,1
3658,Doa Rasulullah yang Selalu Dibaca Pagi dan Sore,clickbait,1
8181,Seo Kang Joon Akui Kalau Kemampuan Aktingnya Masih Kurang?,clickbait,1
1193,Terungkap! Nikita Mirzani Tak Berani Berseteru dengan Sosok Ini,clickbait,1
1536,"Dami Kwon Kakak G-Dragon Bakal Nikahi Aktor Kim Min Joon, Begini Detailnya",clickbait,1
3578,"Menebak Kepribadian lewat Batu Permata, Kamu Sebening Berlian atau Segelap Kecubung?",clickbait,1
2846,"Asisten Pribadi: Meski Sakit, BJ Habibie Masih Pikirkan Negara",clickbait,1
2699,"Podcast: Audisi PB Djarum Dihentikan, Bagaimana Nasib Atlet Belia",clickbait,1
8305,Jung Hae In Akui Bucin Lagu-Lagu BTS Gara-Gara Ini,clickbait,1
7646,"Taemin, Baekhyun dan Kai Debut Bareng Junior di SuperM, Tertekan tapi Senang",clickbait,1
7537,"Kualifikasi Piala Asia U-16 Indonesia - Usai Hadapi Indonesia, Negara Ini Tersingkir dari Kompetisi",clickbait,1
8199,"Ramal Banyak Artis Narkoba Hingga Cerai Tahun Ini, Roy Kiyoshi: Orangnya Gak Disangka-Sangka",clickbait,1
2517,Elza Syarief Kecewa dengan Perlakuan Hotman Paris,clickbait,1
2745,6 Kisah Pilu dalam Pesan Terakhir Korban Tragedi 9/11,clickbait,1
8507,"Bebby Fey Akhirnya Sebut Nama YouTuber, Atta Halilintar Singgung Soal Fitnah",clickbait,1
7464,Penyakit Langka Ini Bikin Bayi 7 Bulan Ini Menangis Sepanjang Hari,clickbait,1
2498,"100 Hari Ani Yudhoyono Berpulang, Ini Kenangan SBY Akan Sosok Memo",clickbait,1
7947,"Hamil 9 Bulan, Yasmine Wildblood Pamer Pemotretan Kece Serba Putih ",clickbait,1
7421,"Ibu Ini Kaget Dapat Tagihan Kartu Kredit Rp 54 Juta, Ternyata Anaknya Beli Fitur di Game Online",clickbait,1
5689,Pentingnya Suasana Nyaman Saat Periksa Gigi,clickbait,1
1765,Cerita Jatuh Bangun Pemilik Warung Dian dan Barokah Unhas hingga Jadi Langganan Mahasiswa,clickbait,1
2807,Top 3 News: Annisa Pohan Sebut BJ Habibie Siap Dipanggil karena Ibu Ainun Menunggunya,clickbait,1
8292,"Beda 9 Tahun, Raditya Dika Dan Anissa Aziza Beberkan Asam Manis Hubungan",clickbait,1
8577,Captain Marvel Bakal Jadi Musuh Avengers dan Bunuh Salah Satu Superhero,clickbait,1
7410,"Setelah Melahirkan Bayi Laki-laki 10 Kali Berturut-turut, Ibu Ini Akhirnya Dikaruniai Anak Perempuan",clickbait,1
5818,Tukang Galon dan Air Minum Nyalon Pilkada Tangsel,clickbait,1
7691,"Chelsea Islan Diduga Pacaran dengan Rob Clinton Kardinal, Ibunda Beri Restu?",clickbait,1
8286,Berikut Ini Kekayaan Bersih Setiap Member BLACKPINK,clickbait,1
4926,"Baru Banget Rilis, iPhone 11 Sudah Kecewakan Pengguna Asia?",clickbait,1
1382,"Digrebeg di Hotel, Aktor FTV Ridho Illahi Berduaan dengan Selebgram Chagii Amelia?",clickbait,1
7505,"Tetap Aktif dan Modis Saat Berbadan Dua, Baju Hamil Reebok Ukurannya Bisa Menyesuaikan Kondisi Perut",clickbait,1
2820,Pesan BJ Habibie untuk Kemajuan Industri Indonesia,clickbait,1
8002,Adegan Ciuman Ji Chang Wook di Episode Perdana 'Melting Me Softly' Banjir Respon Syok,clickbait,1
8196,Adegan Super Romantis Cha Eunwoo - Shin Se Kyung di 'Rookie Historian Goo Hae Ryung' Bikin Gemas,clickbait,1
6204,"Kasus Suap PT Angkasa Pura II, Ini Sederet Nama yang Diperiksa",clickbait,1
2429,"Gojek Resmi Beroperasi di Bandara Soekarno-Hatta, Begini Cara Pesannya",clickbait,1
8287,"Nikita Mirzani Bangga Tak Perlu Jadi Cabe-Cabean, Asyik Hitung Uang Saweran Nyanyi di Klub Malam",clickbait,1
7295,"Jennifer Jill Blak-blakan Ingin Selingkuh, Ajun Perwira Beri Senggolan, Sang Istri: yang Meyakinkan!",clickbait,1
3895,"Kepala Ditikam Pisau, Driver Ojol 'Dibuang' di Tempat Sampah, Motor Dilarikan Begal di KIM 2",clickbait,1
7469,"Promo Menarik dari Yamaha Dinamika Motor, Beli Ban Baru Dapat Potongan Harga Nih!",clickbait,1
7196,Ibu Ini Tega Buang Jasad Bayinya di Halaman Rumah Kosong,clickbait,1
8519,"Dian Sastro Diejek Bodoh Menteri Yasonna, Wajah Cantik Serius Baca Buku Bikin Adem",clickbait,1
2770,BJ Habibie dan Kisah Museum yang Belum Terwujud,clickbait,1
